Rank,Name,Walk Score,Transit Score,Bike Score,Population
1,Little Italy,100,100,93,3749
2,Bowery,100,100,96,16702
3,Flatiron District,100,100,91,4579
4,Chinatown,100,100,93,13724
5,NoLita,100,100,94,6464
6,Noho,100,100,95,3123
7,West Village,100,100,93,34359
8,Financial District,100,100,84,27033
9,Soho,100,100,93,11276
10,Greenwich Village,99,100,94,34531
11,Civic Center,99,100,90,5279
12,Tribeca,99,100,90,17068
13,NoMad,99,100,89,8137
14,Gramercy Park,99,100,93,18635
15,Midtown East,99,100,79,49976
16,Theater District,99,100,87,13170
17,Chelsea,99,100,94,52598
18,Union Square,99,100,91,7810
19,Murray Hill,99,100,80,22249
20,Upper East Side,99,99,81,208013
21,Hell's Kitchen,99,100,91,51840
22,Koreatown,99,100,87,1910
23,Boerum Hill,98,100,94,22518
24,Kips Bay,98,100,88,39246
25,Garment District,98,100,87,5963
26,Two Bridges,98,99,93,28930
27,Upper West Side,98,99,83,208776
28,East Village,98,96,96,60375
29,Brooklyn Heights,97,100,85,20560
30,DUMBO,97,100,87,3006
31,Prospect Heights,97,100,92,21765
32,Central Harlem,97,100,77,111094
33,Park Slope,97,96,89,61508
34,Cobble Hill,97,98,95,8605
35,Fort Greene,97,100,93,20297
36,Battery Park City,97,100,84,12258
37,Inwood,97,88,70,38367
38,West Harlem,97,99,74,107403
39,Downtown Brooklyn,96,100,91,11077
40,Clinton Hill,96,97,94,25887
41,Williamsburg,96,89,88,138526
42,East Harlem,96,99,81,118829
43,Carroll Gardens,96,87,94,18514
44,Fordham Heights,96,99,62,49896
45,Washington Heights,96,97,71,158951
46,Elmhurst,96,96,74,101918
47,Gowanus,95,96,90,5661
48,Belmont,95,92,63,23890
49,Brighton Beach,95,76,67,30166
50,Stuyvesant Town - Peter Cooper Village,95,99,94,21268
51,Sunset Park,95,82,74,100989
52,Long Island City,95,87,82,71414
53,Lower East Side,95,92,95,38641
54,Concourse,95,93,70,54406
55,Concourse Village,95,98,68,29727
56,Bushwick,95,90,84,113629
57,Greenpoint,95,69,90,34569
58,Longwood,95,92,77,20337
59,Marble Hill,95,87,56,10180
60,Crown Heights,95,98,85,125818
61,Fordham Manor,95,100,61,49585
62,Ridgewood,95,85,73,64765
63,Parkchester,94,85,58,40412
64,Foxhurst,94,96,77,19644
65,South Bronx,94,95,76,74207
66,East Tremont,94,94,67,16991
67,Bedford-Stuyvesant,94,91,79,153040
68,Mount Eden,94,93,63,24005
69,Jackson Heights,94,86,78,108979
70,Mount Hope,94,94,68,30381
71,Kensington,93,83,86,49617
72,Woodside,93,95,69,55051
73,Flatbush,93,92,80,167618
74,Corona,93,79,76,109607
75,Astoria,93,78,75,153924
76,Bensonhurst,93,75,58,77932
77,Borough Park,93,76,64,115327
78,Rego Park,93,91,67,60946
79,Bay Ridge,93,82,75,79177
80,Woodstock,93,94,71,19048
81,Norwood,93,94,70,39735
82,Westchester Village,93,81,68,15332
83,Highbridge,92,94,63,38495
84,Vinegar Hill,92,97,90,4630
85,Kingsbridge,92,93,58,50354
86,Greenwood Heights,92,88,73,18878
87,Bedford Park,92,98,73,26304
88,University Heights,92,97,57,35552
89,West Farms,92,90,68,29710
90,Pelham Parkway,91,82,80,22492
91,Red Hook,91,66,95,10225
92,Kew Gardens,91,93,59,26367
93,Forest Hills,91,90,59,51010
94,Unionport,90,80,61,23914
95,Sheepshead Bay,90,76,66,121807
96,Van Nest,90,84,74,13918
97,Richmond Hill,90,80,54,65905
98,Mapleton,90,78,60,26579
99,Morrisania,90,92,72,51768
100,Ocean Hill,90,98,66,27565
101,Gravesend,90,81,69,100536
102,Dyker Heights,89,76,59,37264
103,Jamaica Hills,89,100,55,12700
104,Flushing,89,83,65,172447
105,Bath Beach,89,71,70,33061
106,Windsor Terrace,89,83,81,14446
107,Hunts Point,89,82,70,12200
108,Allerton,89,81,75,59555
109,Brownsville,89,97,76,55788
110,Midwood,88,83,70,73615
111,Crotona Park East,88,94,74,29987
112,Woodhaven,88,70,54,36877
113,East Flatbush,88,85,64,130788
114,Pelham Bay,88,80,76,24885
115,East Elmhurst,88,74,79,22443
116,Ozone Park,88,76,56,39572
117,Cypress Hills,88,76,63,42692
118,Flatlands,88,83,61,65242
119,Morris Park,88,77,73,16410
120,Jamaica,87,94,54,89810
121,Port Richmond,86,66,54,15465
122,Glendale,85,67,70,31104
123,Morris Heights,85,95,63,40713
124,Jamaica Estates,84,91,44,14139
125,East New York,84,88,68,142173
126,Williamsbridge,84,80,73,31788
127,Wakefield,84,77,62,54956
128,St. George,84,74,53,7741
129,Maspeth,84,73,59,56058
130,Clason Point,83,78,65,92935
131,Utopia,83,70,62,1494
